                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4069,                 2.0591,                    1.1,                0.99188,                0.44594,                0.77179,                0.47478,                  1.238,                 2.9139,                 1.0658,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.3863,                  1.355,                 1.1462,                0.96492,                0.90339,                0.96005,                0.58517,                  1.296,                  1.755,                 1.0912,              0.0012533,              0.0012533,              0.0012533
                      3,                 1.3757,                 1.2792,                 1.1204,                0.94262,                0.95926,                0.97991,                0.61062,                 1.2274,                 1.2203,                 1.1012,              0.0017887,              0.0017887,              0.0017887
                      4,                 1.3381,                 1.1482,                 1.1282,                0.94263,                 0.9594,                0.98246,                0.61239,                 1.3043,                 1.0775,                 1.1578,               0.001703,               0.001703,               0.001703
                      5,                 1.2787,                  1.042,                 1.1222,                0.96311,                0.95284,                0.98109,                  0.624,                 1.2365,                 1.0409,                 1.1247,               0.001703,               0.001703,               0.001703
                      6,                 1.2958,                 1.0149,                 1.1187,                0.96832,                 0.9708,                0.98327,                0.64989,                 1.1997,                0.84671,                 1.1006,               0.001604,               0.001604,               0.001604
                      7,                 1.2586,                0.90742,                 1.1059,                0.93955,                 0.9854,                0.99088,                0.65333,                 1.1817,                0.83759,                 1.0744,               0.001505,               0.001505,               0.001505
                      8,                 1.2167,                0.86383,                 1.0847,                0.94996,                 0.9854,                 0.9902,                 0.6279,                 1.1671,                0.79039,                 1.0691,               0.001406,               0.001406,               0.001406
                      9,                 1.2441,                0.82045,                 1.0993,                0.97095,                0.97598,                0.98762,                0.65988,                 1.1653,                0.74781,                 1.0844,               0.001307,               0.001307,               0.001307
                     10,                 1.2176,                 0.8087,                 1.0682,                0.96524,                 0.9708,                0.98927,                0.66324,                 1.0989,                0.73931,                 1.0483,               0.001208,               0.001208,               0.001208
                     11,                 1.2514,                0.88763,                 1.1053,                0.97423,                 0.9854,                0.99162,                  0.675,                 1.0943,                0.70506,                 1.0698,               0.001109,               0.001109,               0.001109
                     12,                 1.1873,                0.83764,                 1.0895,                0.98373,                0.95985,                0.98977,                 0.6679,                 1.0998,                0.72905,                 1.0604,                0.00101,                0.00101,                0.00101
                     13,                 1.1759,                0.78214,                 1.0699,                0.96745,                0.97627,                0.99119,                0.65555,                 1.1535,                0.66058,                 1.0853,               0.000911,               0.000911,               0.000911
                     14,                  1.151,                 0.7466,                 1.0676,                0.96183,                0.98175,                0.98733,                0.67246,                 1.1183,                 0.6528,                 1.0624,               0.000812,               0.000812,               0.000812
                     15,                 1.1439,                0.70898,                 1.0627,                0.96866,                 0.9854,                0.99289,                0.68554,                 1.0875,                0.62316,                 1.0498,               0.000713,               0.000713,               0.000713
                     16,                 1.1806,                0.71641,                 1.0961,                0.97123,                0.98581,                0.99203,                0.69317,                 1.0629,                0.60913,                 1.0552,               0.000614,               0.000614,               0.000614
                     17,                  1.119,                 0.6685,                 1.0564,                0.97826,                0.98521,                0.99314,                0.69302,                 1.0424,                0.58634,                 1.0523,               0.000515,               0.000515,               0.000515
                     18,                 1.0992,                0.64346,                 1.0502,                0.97827,                0.98567,                0.99222,                0.68273,                 1.0826,                0.57293,                 1.0636,               0.000416,               0.000416,               0.000416
                     19,                 1.0825,                0.62187,                 1.0445,                0.97835,                0.98952,                0.99244,                0.69824,                 1.0471,                0.55258,                 1.0453,               0.000317,               0.000317,               0.000317
                     20,                 1.0751,                0.61267,                 1.0501,                0.97305,                 0.9927,                0.99168,                0.71118,                0.99782,                0.53396,                 1.0222,               0.000218,               0.000218,               0.000218
